Groupe,Page (nom Webflow),URL actuelle,Statut,Type,Créée le,Modifiée le (Paris),Décision proposée,Action demain,Pourquoi,301 au go-live →,Ancien formulaire Webflow,Existe sur la prod,Validé par,Fait,ID Webflow
7. Modèles CMS hérités,Integrations Tools Template,/integrations,Publiée,Modèle CMS,2020-05-20,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /integrations/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c6d
7. Modèles CMS hérités,Integrations Categories Template,/integrations-categories,Publiée,Modèle CMS,2020-05-25,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /integrations-categories/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c6e
7. Modèles CMS hérités,Jobs Template,/jobs-listing,Publiée,Modèle CMS,2020-05-04,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /jobs-listing/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c6f
7. Modèles CMS hérités,Landing page -logos Template,/landing-page-logos,Publiée,Modèle CMS,2021-09-23,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /landing-page-logos/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c70
7. Modèles CMS hérités,Landing logos Template,/logos-fruit-attraction,Publiée,Modèle CMS,2021-09-21,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /logos-fruit-attraction/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c72
7. Modèles CMS hérités,Media Template,/media,Publiée,Modèle CMS,2020-05-04,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /media/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c73
7. Modèles CMS hérités,New Features Template,/new-feature,Publiée,Modèle CMS,2021-03-19,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /new-feature/… ; se supprime en supprimant la collection.,—,Oui,Oui,,,6aaaafd0271107b340148c74
7. Modèles CMS hérités,Office locations Template,/office-locations,Publiée,Modèle CMS,2021-06-25,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /office-locations/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c75
7. Modèles CMS hérités,Podcasts Template,/podcasts,Publiée,Modèle CMS,2020-11-16,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /podcasts/… ; se supprime en supprimant la collection.,—,Oui,Oui,,,6aaaafd0271107b340148c76
7. Modèles CMS hérités,Team Members Template,/team,Publiée,Modèle CMS,2020-05-04,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /team/… ; se supprime en supprimant la collection.,—,Oui,Oui,,,6aaaafd0271107b340148c77
7. Modèles CMS hérités,Team in Fruit a & South summits Template,/team-in-fruit-a-south-summit,Publiée,Modèle CMS,2021-09-21,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /team-in-fruit-a-south-summit/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c78
7. Modèles CMS hérités,Use Cases Template,/use,Publiée,Modèle CMS,2021-03-04,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /use/… ; se supprime en supprimant la collection.,—,Oui,Oui,,,6aaaafd0271107b340148c71
7. Modèles CMS hérités,Webinars Template,/webinar,Publiée,Modèle CMS,2021-12-21,2026-09-16 17:04,APRÈS BASCULE,Aucune (chantier CMS),Collection héritée de la prod (2020-2023) : items encore publics sous /webinar/… ; se supprime en supprimant la collection.,—,,Oui,,,6aaaafd0271107b340148c79
8. Pages utilitaires,Password,/401,Publiée,Utilitaire,2020-04-21,2026-09-16 17:04,NE PAS TOUCHER,Aucune,"Page utilitaire Webflow, non supprimable.",—,,Oui,,,6aaaafd0271107b340148c54
8. Pages utilitaires,404,/404,Publiée,Utilitaire,2020-04-21,2026-09-23 19:54,NE PAS TOUCHER,Aucune,"Page utilitaire Webflow, non supprimable. Modifiée le 23/09 : à habiller aux couleurs 2026 (P2).",—,,Oui,,,6aaaafd0271107b340148c55
